0.1 403.42843541584585 -15478262.005140249
0.2 406.5877824115961 -15580428.937600166
0.30000000000000004 406.7864273731247 -15586845.689322736
0.4 415.08657797832086 -15854224.73542533
0.5 420.3285952176592 -16022354.171199536
0.6000000000000001 411.7578888128434 -15747167.585363133
0.7000000000000001 414.7278326610659 -15842697.830160726
0.8 439.3893973159373 -16628997.82467356
0.9 433.9384446372646 -16456255.627643283
1 454.3826637098675 -17101129.402393557
1.1 440.0073245941359 -16648542.965973139
1.2000000000000002 459.5290654213719 -17262185.876909994
1.3 477.0019000508126 -17805265.352145337
1.4000000000000001 448.9193674439739 -16929598.9154302
1.5 467.8143071792837 -17520415.4917374
1.6 485.4175981366991 -18064817.289277423
1.7000000000000002 501.9446518940451 -18570808.913707543
1.8 517.5750971813876 -19044913.161738675
1.9000000000000001 532.459591407609 -19492488.734848194
2 546.7251444801385 -19917969.117567223
2.1 497.73982078753903 -18442536.601175614
2.2 515.0247769148347 -18967846.04823148
2.3000000000000003 531.7910990443112 -19472467.500336174
2.4000000000000004 548.099219195705 -19958774.894226123
2.5 564.002737310629 -20428836.1629372
2.6 579.5493749242131 -20884461.17726067
2.7 594.7817542616416 -21327240.311811496
2.8000000000000003 609.7380448792536 -21758575.901138566
2.9000000000000004 624.4525058188277 -22179708.1546763
3 638.9559438150303 -22591736.687764265
3.1 653.2761062079264 -22995638.628918037
3.2 667.4380180285639 -23392283.897461563
3.3000000000000003 681.4642758144644 -23782448.25799885
3.4000000000000004 695.3753028833738 -24166824.47989916
3.5 709.1895739952897 -24546031.977914676
3.6 722.9238112784667 -24920625.109091062
3.7 736.5931626625367 -25291100.532507613
3.8000000000000003 750.2113533349514 -25657903.451797444
3.9000000000000004 763.7908258405969 -26021433.2317152
4 777.3428646927633 -26382048.32633555
4.1000000000000005 664.3393788611456 -23305731.99353434
4.2 681.0592460899203 -23771218.579759195
4.3 697.7406603986772 -24231929.602388497
4.4 714.3881994241812 -24688102.38754444
4.5 731.0061519597858 -25139958.039551727
